section,field_name,sheet_type,source_workbook,tab_name_in_sheet,header_in_sheet,unit,plants,required_or_optional,feeds_these_metrics,notes
,,,,,,,,,,
DIMENSION — from sheet structure (not a cell value; set in sources.py),,,,,,,,,
D1,Plant code,Both,sources.py registry,—,—,—,PIPE / GARDEN / HDPE / MOULDING / PTMT / CP / TANK,Required,All metrics,Hard-coded in sources.py per workbook. Never read from a cell.
D2,Segment label,Both,sources.py registry,—,—,—,All,Required,Segment-level rollups,e.g. "Pipe" / "Garden Pipe" / "HDPE" / "Moulding". Set per source entry.
D3,Unit of measure,Both,sources.py registry,—,—,kg or pcs,All,Required,Output / Rejection display,kg for extrusion plants; pcs for Moulding.
D4,Source file ID,Both,sources.py registry,—,—,—,All,Required,Data Confirmation (file coverage),Google Sheet file ID pinned in sources.py. Must be added when a new monthly file is created.
D5,Source tab name,Both,sources.py registry,—,—,—,All,Required,Data Confirmation (tab coverage),e.g. "Pipe M/C 26-27" / "Report-5" / "Daily Report".
,,,,,,,,,,
MONTHLY GRAIN — Annual Summary Workbooks (one workbook per plant; per-machine detail tabs M/C-1 M/C-2 …),,,,,,,,,
M1,Month label,Annual Monthly,Pipe / Garden / HDPE / Moulding M/C Summary,M/C detail tab (M/C-1 etc.),"APR'26 / APR-26 / JUNE'26 (first column of each data row)",YYYY-MM,PIPE GARDEN HDPE MOULDING,Required,Period filtering / trend,Parsed to YYYY-MM (e.g. 2026-04). Rows with no recognisable month label are skipped.
M2,Machine label,Annual Monthly,Pipe / Garden / HDPE / Moulding M/C Summary,M/C detail tab,"MACHINE / MOULD MACHINE column (merged cell; carried forward across months)",text,All,Required,Machine-level rollup / Confirmation roster,Merged cell — appears once then blank; parser carries it forward. Prefixed with plant code to form the full machine key (e.g. "PIPE M/C-1").
M3,Mould / Material code,Annual Monthly,Moulding M/C Summary (primary); others where present,M/C detail tab,Column immediately before the month column,text,MOULDING (and some PIPE / GARDEN rows),Optional,Mould-level rollup,Merged cell carried forward like machine label. Used as both mould and material fields.
M4,Ideal Hours,Annual Monthly,All annual workbooks,M/C detail tab,"Ideal Hours (merged; carried forward across months)",hours,All,Required,Utilisation = Actual Hours ÷ Ideal Hours,Merged cell. If blank for a month row the last non-blank value is used. A zero means the machine was not planned that month.
M5,Actual Hours,Annual Monthly,All annual workbooks,M/C detail tab,Actual Hours,hours,All,Required,Utilisation,Run time actually recorded. Rows where both Actual Hours and Output are zero are skipped (future month).
M6,Actual Output (KG / PCS),Annual Monthly,All annual workbooks,M/C detail tab,"Actual Output (KG) / Output (KG) / Output (PCS) — header varies by plant",kg or pcs,All,Required,"Output Efficiency, Rejection %, OEE Quality",Raw produced quantity. Stored % cells in the sheet are ignored — all ratios are recomputed here.
M7,Ideal Output rate (kg/hr or pcs/hr),Annual Monthly,All annual workbooks,M/C detail tab,"Ideal Output column (=ideal rate; e.g. 120 kg/hr)",kg/hr or pcs/hr,All,Required,Output Efficiency = Actual Output ÷ (Actual Hours × Ideal Rate),Merged cell; parser stores it as ideal_rate and computes ideal_output = actual_hours × ideal_rate. Never read from the stored Output Efficiency % cell.
